Age,Height_cm,Weight_kg,Income_EUR,Exercise_Hours_Per_Week
56,177.7,53.5,34896,8
46,163.8,75.4,64175,6
32,176.3,86.0,25805,11
60,183.7,75.8,23237,13
25,173.9,66.8,38056,14
38,177.4,63.8,63543,3
56,163.9,83.8,74556,2
36,171.0,79.7,21343,9
40,185.2,70.6,31500,14
28,161.9,86.8,71222,4
28,180.6,84.2,47375,4
41,187.5,95.5,27662,2
53,176.1,80.8,34964,11
57,156.8,72.0,77638,8
41,174.9,72.3,31284,3
20,171.3,50.8,79389,10
39,176.2,75.8,27435,4
19,178.6,73.8,72340,3
41,165.0,58.0,62078,4
61,164.4,73.7,69293,6
47,170.6,90.1,78403,8
55,163.3,65.2,47124,6
19,173.4,62.5,61919,12
38,171.0,87.3,53247,4
50,195.7,81.6,80752,9
29,162.8,110.7,74573,9
39,165.0,58.2,77101,6
61,175.8,82.6,44646,13
42,179.9,77.8,41049,14
44,192.6,74.7,58158,9
59,186.6,84.9,83417,4
45,179.4,73.6,41289,2
33,174.6,50.8,27823,6
32,180.1,63.8,78160,12
64,166.5,90.4,59975,10
61,169.2,88.1,27540,10
20,158.7,69.5,34364,1
54,169.9,80.0,22611,14
24,180.7,107.4,45663,11
38,170.1,73.6,69991,8
26,165.0,73.9,75679,9
56,168.8,76.3,48977,9
35,178.5,81.3,67115,11
21,169.7,69.8,78890,0
42,179.6,81.3,84387,12
31,160.2,50.7,36071,5
26,164.2,78.0,77275,6
43,167.4,74.6,29938,13
19,160.2,71.4,53195,12
37,198.5,68.3,22000,7
45,162.1,66.7,56304,9
64,180.2,64.2,38764,8
24,166.0,46.2,56494,1
61,167.4,70.8,21373,10
25,174.7,87.2,30161,9
64,158.9,70.0,45350,1
52,166.0,81.6,43351,4
31,170.7,61.0,33305,12
34,164.4,58.3,83953,4
53,164.6,65.0,75458,5
57,181.8,61.7,38358,2
21,181.0,59.8,21267,7
19,168.0,79.4,56513,12
23,171.2,95.3,44092,0
59,183.1,66.0,29338,5
21,159.2,53.7,18412,3
46,175.0,81.9,25543,0
35,189.8,56.8,51496,14
43,189.7,59.8,78692,6
61,154.5,79.9,62425,8
51,165.1,72.0,56756,12
27,173.5,65.8,36888,3
53,160.1,74.8,53735,3
31,166.0,69.1,65295,5
48,170.8,96.7,35955,11
32,184.6,65.9,55841,14
25,171.6,63.0,83510,2
31,174.0,68.5,52911,12
40,176.6,69.0,77031,11
57,176.9,81.1,25357,5
38,172.3,50.1,50479,6
33,161.2,79.1,79476,10
62,179.1,67.5,62811,9
35,175.9,83.3,54208,9
64,162.1,73.4,38150,2
41,165.9,80.2,61286,6
43,180.0,69.3,39352,13
42,177.4,79.3,73069,2
62,165.5,94.0,32397,12
58,169.6,65.1,59555,12
46,170.7,72.7,64959,1
32,177.6,68.2,18728,11
62,183.2,93.1,68517,13
18,172.6,68.8,84234,9
42,182.5,65.2,57954,3
24,179.9,67.1,65280,11
26,173.9,72.4,34779,7
41,159.0,64.5,81932,12
18,162.8,69.6,42466,14
61,178.7,75.9,54939,8
